[2021-11-17 16:22:24,429][Driver.py 25][INFO]: found the chrome driver [<selenium.webdriver.chrome.webdriver.WebDriver (session="875106cd1f3ac93e3b261363819a9502")>] successed !
[2021-11-17 16:22:27,457][close_popoup.py 29][INFO]: 打开网页 https://localhost/main/#/v5/rateManage
[2021-11-17 16:24:04,977][Driver.py 25][INFO]: found the chrome driver [<selenium.webdriver.chrome.webdriver.WebDriver (session="d4a00e7c82212b08483c99fe4a953a0d")>] successed !
[2021-11-17 16:24:08,035][close_popoup.py 29][INFO]: 打开网页 https://localhost/main/#/v5/rateManage
[2021-11-17 16:24:36,088][close_popoup.py 47][INFO]: 找不到弹窗
[2021-11-17 16:24:56,344][close_popoup.py 47][INFO]: 找不到弹窗
[2021-11-17 16:25:16,635][close_popoup.py 47][INFO]: 找不到弹窗
[2021-11-17 16:25:36,947][close_popoup.py 47][INFO]: 找不到弹窗
[2021-11-17 16:25:48,297][Driver.py 25][INFO]: found the chrome driver [<selenium.webdriver.chrome.webdriver.WebDriver (session="dfd983f664ae2b7f151d665f9c5f2d9f")>] successed !
[2021-11-17 16:25:51,468][close_popoup.py 29][INFO]: 打开网页 https://localhost/main/#/v5/rateManage
[2021-11-17 16:26:19,589][close_popoup.py 47][INFO]: 找不到弹窗
[2021-11-17 16:26:39,848][close_popoup.py 47][INFO]: 找不到弹窗
[2021-11-17 16:27:00,102][close_popoup.py 47][INFO]: 找不到弹窗
[2021-11-17 16:30:26,582][Driver.py 25][INFO]: found the chrome driver [<selenium.webdriver.chrome.webdriver.WebDriver (session="a06f2a7d11337b690461d2b0e08d5313")>] successed !
[2021-11-17 16:30:29,673][close_popoup.py 29][INFO]: 打开网页 https://localhost/main/#/v5/rateManage
[2021-11-17 16:30:57,671][close_popoup.py 47][INFO]: 找不到弹窗
[2021-11-17 16:42:45,180][Driver.py 25][INFO]: found the chrome driver [<selenium.webdriver.chrome.webdriver.WebDriver (session="a8896a4708e41b758c5df5cfb330c8b0")>] successed !
[2021-11-17 16:42:48,275][close_popoup.py 29][INFO]: 打开网页 https://localhost/main/#/v5/rateManage
[2021-11-17 16:54:30,050][Driver.py 25][INFO]: found the chrome driver [<selenium.webdriver.chrome.webdriver.WebDriver (session="d0559849e0e190a3079391f1507df7b6")>] successed !
[2021-11-17 16:54:33,628][close_popoup.py 29][INFO]: 打开网页 https://localhost/main/index.html?token=~XAEIBARVDwJQUApQHwULG1ddDAxUVQoDAgEV04WShrTy1rGj09qGWx8HHxFBQVYbVFcJCFBSAAIGBgwCCR6HhMTVtKTR66fQ39JcHFYO1qbOVAsVVlUDBA4CCQZbAFRbKEFdfnAKQgANFgEJXnxgXFYDSwklDwYNZEN9BgoBAgEAA19EZjRAWQhWZQByBlgBJR9RWhYSBgc%3D~1~/#/v5/rateManage
